No,Size,Type,IsDegradeRead,replicas,nativeec,microec,NativeecTimes,MicroecTimes
8108,18300928,GET,FALSE,2821.107,2818.292,5949.361,1,2.11
8816,18481152,GET,TRUE,2836.992,6716.476,3375.176,2.37,1.19
3776,18481152,GET,FALSE,2850.806,2840.388,2836.361,1,0.99
10751,18513920,GET,TRUE,2847.335,6252.582,3573.172,2.2,1.25
7482,18513920,GET,TRUE,2858.7,5213.972,3110.05,1.82,1.09
9355,18513920,GET,FALSE,2858.269,2845.438,2842.072,1,0.99
9930,18513920,GET,TRUE,2849.48,6256.053,3664.209,2.2,1.29
9688,18513920,GET,TRUE,2841.439,5274.599,3108.978,1.86,1.09
8673,18513920,GET,FALSE,8357.721,2852.792,2844.736,0.34,0.34
4006,18513920,GET,FALSE,2860.562,2871.096,2844.873,1,0.99
8017,18513920,GET,TRUE,2842.986,6589.004,3475.986,2.32,1.22
8325,18530304,GET,FALSE,2852.326,2864.871,2843.85,1,1
10146,18530304,GET,FALSE,2845.778,2856.248,2848.798,1,1
6490,18530304,GET,TRUE,2861.844,6930.594,3629.228,2.42,1.27
7739,18595840,GET,TRUE,2855.038,6606.441,3648.285,2.31,1.28
7098,18595840,PUT,FALSE,9489.298,9792.028,5899.55,1.03,0.62
5395,18595840,PUT,FALSE,9431.694,10590.066,5678.689,1.12,0.6
6105,18595840,PUT,FALSE,9434.789,9206.92,5684.33,0.98,0.6
5345,18595840,GET,FALSE,2855.194,2859.617,2858.16,1,1
4229,18628608,GET,TRUE,2871.533,5736.057,3623.149,2,1.26
7798,18677760,GET,TRUE,2882.993,6817.262,3325.459,2.36,1.15
8898,18825216,GET,TRUE,2894.097,6195.214,3930.488,2.14,1.36
8267,18825216,GET,TRUE,2891.275,5560.892,3148.642,1.92,1.09
5060,18857984,PUT,FALSE,9548.75,10411.535,5977.685,1.09,0.63
3502,18857984,PUT,FALSE,9563.81,10108.704,11007.128,1.06,1.15
3253,18857984,GET,FALSE,2899.557,2897.025,2895.533,1,1
5493,18857984,GET,FALSE,2910.313,2903.11,2894.687,1,0.99
