Size,Type,IsDegradeRead,NativeecTimes,HydraTimes,MicroecTimes
1744,PUT,False,4.33,4.01,2.03
1748,GET,False,3.31,2.35,1.91
1752,GET,True,3.52,3.53,2.2
1756,GET,True,4.67,3.09,2.42
1756,GET,False,4.52,3.86,2.04
1760,GET,False,5.39,2.93,1.86
1760,GET,False,5.49,3.54,1.88
1760,GET,False,4.36,3.07,1.76
1760,GET,False,3.78,3.88,2.09
1760,GET,False,2.56,2.42,1.9
1760,GET,False,4.29,3.47,1.55
1760,GET,True,2.95,3.19,2.43
1760,GET,False,3.49,3.11,1.72
1760,GET,False,3.53,3.44,2.36
1764,GET,False,5.16,3.0,2.06
1772,GET,False,2.09,3.67,1.86
1772,GET,False,4.5,2.93,2.13
1772,GET,False,4.89,4.17,1.81
1772,GET,False,3.47,2.81,2.04
1772,GET,True,4.92,3.16,2.54
1772,GET,True,5.67,3.61,2.65
1772,GET,True,4.0,3.75,2.34
1772,GET,False,4.81,4.03,2.53
1772,GET,True,6.64,3.51,2.01
1772,GET,False,4.25,3.68,2.53
1772,GET,False,5.47,3.03,2.36
1772,GET,False,4.64,2.2,1.71
1772,GET,False,3.5,2.5,1.78
1772,GET,False,4.48,4.06,2.24
1772,GET,False,2.84,3.41,1.97
1772,GET,False,5.2,3.46,2.52
1772,GET,False,4.03,4.15,2.34
1772,GET,False,4.42,3.68,1.41
1772,GET,False,5.15,3.55,2.03
1772,GET,True,4.86,2.97,2.26
1772,GET,False,3.04,3.79,1.68
1772,GET,True,3.17,2.89,2.28
1772,GET,True,4.1,2.93,2.33
1772,GET,True,3.9,3.87,2.62
1776,GET,False,3.81,3.52,2.31
1776,GET,False,4.95,2.84,2.26
1776,GET,True,3.93,3.34,2.48
1776,GET,False,5.1,3.01,1.66
1776,GET,False,2.19,3.14,1.76
1776,GET,False,2.27,2.56,2.65
1776,GET,False,4.5,2.86,1.9
1776,GET,True,3.13,3.92,2.2
1780,PUT,False,4.82,4.19,1.59
1780,GET,False,2.94,3.25,1.9
1784,GET,False,2.61,2.92,1.74
1784,GET,False,1.74,1.71,1.57
1784,GET,False,3.28,2.86,2.03
1784,GET,False,2.77,3.85,1.65
1788,GET,True,4.89,3.25,2.49
1788,GET,False,3.81,3.58,2.03
1788,GET,False,2.91,3.35,1.46
1788,PUT,False,5.62,2.85,1.52
1788,GET,True,3.53,3.16,2.39
1788,GET,True,5.86,3.48,2.48
1788,GET,False,3.08,3.22,2.25
1788,GET,False,4.92,2.98,1.51
1788,GET,False,3.32,2.85,2.1
1792,GET,False,3.58,3.32,2.01
1800,GET,False,2.85,3.03,1.47
1800,GET,True,4.38,3.72,2.53
1804,GET,True,2.92,3.64,2.67
1804,PUT,False,3.95,3.06,2.44
1804,GET,False,6.55,3.75,2.67
1824,GET,False,4.07,3.99,2.57
1832,GET,False,2.72,2.71,1.87
1832,GET,False,3.28,2.96,2.44
1880,GET,False,2.23,1.8,1.54
1880,GET,False,3.31,3.28,2.06
1880,GET,True,6.3,3.08,1.73
1880,GET,False,2.84,2.8,1.71
1880,GET,True,4.88,3.21,2.35
1896,GET,False,3.25,2.59,1.85
1896,GET,False,4.11,2.26,1.73
1896,GET,False,2.25,2.97,1.96
1896,GET,False,4.03,3.71,1.78
1896,GET,True,5.22,3.78,2.52
1896,GET,False,3.65,3.24,1.88
1896,GET,False,4.55,3.84,2.06
1896,GET,True,3.72,3.66,2.64
1896,GET,False,4.39,3.23,1.84
1896,GET,False,2.43,2.91,1.58
1896,GET,False,3.61,3.55,2.24
1896,GET,False,3.83,3.5,1.84
1900,GET,True,4.41,3.84,2.63
1900,GET,False,4.78,2.92,1.76
1900,GET,False,2.97,2.33,1.56
1900,GET,False,3.1,2.74,1.89
1900,GET,False,3.23,2.55,1.61
1900,GET,False,4.07,2.7,2.35
1900,GET,False,3.74,2.19,1.9
1900,GET,False,4.24,3.94,2.03
1900,GET,False,3.11,2.76,1.3
1900,GET,True,5.74,2.75,2.37
1912,GET,True,3.2,3.73,2.43
1912,GET,False,2.76,2.47,2.53
1912,GET,False,3.03,2.6,2.11
1920,GET,False,1.95,2.41,1.39
1932,GET,False,4.12,3.18,2.45
1936,PUT,False,6.18,3.26,2.35
1940,GET,True,3.9,2.29,2.04
1940,GET,False,2.71,2.95,1.99
1956,GET,False,4.69,2.57,2.1
1980,GET,True,4.02,4.15,2.51
1980,GET,False,3.87,2.58,2.23
1980,GET,False,4.31,2.55,2.21
1980,GET,False,3.49,4.02,1.86
1980,GET,False,3.89,2.69,1.99
1980,GET,True,4.28,3.55,2.52
1980,GET,False,2.17,4.19,2.02
1980,GET,True,3.78,3.21,2.53
1980,GET,False,2.72,3.11,2.07
1980,GET,False,4.27,2.36,2.03
1980,GET,False,3.17,2.23,1.33
1980,GET,True,4.41,3.49,2.17
1980,GET,True,3.37,3.33,2.66
1980,GET,False,3.11,2.33,1.29
1980,GET,False,4.87,3.61,1.7
1980,GET,True,4.14,3.51,2.57
1980,GET,False,5.85,2.91,2.14
1980,GET,False,4.76,4.17,2.28
1980,GET,False,3.68,3.35,1.8
1980,GET,False,5.75,3.01,1.72
1980,GET,True,3.88,3.05,2.45
1980,GET,False,6.8,2.61,2.28
1980,GET,False,2.39,1.96,1.51
1984,GET,False,3.18,3.06,2.6
1984,GET,False,2.68,2.78,2.48
1984,GET,False,3.64,3.91,2.08
1988,GET,False,2.32,4.16,1.65
1988,GET,False,5.05,3.37,1.99
1988,GET,False,2.38,2.57,1.59
1988,GET,True,3.96,2.95,2.42
1988,GET,False,2.84,2.75,1.83
1988,GET,False,4.14,2.84,2.53
1988,GET,False,3.52,3.37,1.84
1988,GET,False,3.25,3.27,1.98
1988,GET,False,3.48,2.5,2.27
1988,GET,False,4.47,3.2,2.46
1988,GET,False,4.64,3.64,2.62
1988,GET,False,3.24,2.91,1.73
1988,GET,True,3.32,3.27,2.42
1988,GET,True,6.12,2.44,1.76
1988,GET,True,4.25,3.8,2.66
1988,GET,True,3.4,3.71,2.49
1988,GET,True,3.7,2.96,2.41
1988,GET,False,2.67,3.29,1.93
1988,GET,False,6.03,3.9,2.21
1992,GET,True,4.31,2.99,2.57
1992,GET,True,3.78,3.31,2.54
1996,GET,True,4.03,4.14,2.14
1996,GET,False,3.26,2.94,1.54
1996,GET,False,4.06,3.18,1.48
1996,GET,False,3.46,2.3,1.88
1996,GET,False,2.2,2.58,1.62
1996,GET,False,2.78,3.79,2.55
1996,GET,False,4.21,3.4,2.01
1996,GET,False,2.93,2.1,1.42
2000,GET,False,2.79,2.56,2.29
2000,GET,False,2.7,2.89,2.19
2000,PUT,False,3.69,3.5,2.54
2000,PUT,False,3.69,3.14,2.62
2000,GET,True,3.01,3.62,2.18
2004,GET,False,4.75,3.18,2.1
2008,GET,True,4.24,3.94,2.57
2008,GET,True,3.86,3.84,2.37
2012,GET,False,5.02,3.5,1.62
2012,GET,False,2.97,2.5,2.27
2012,GET,False,3.38,2.37,2.06
2012,GET,False,3.9,3.65,1.86
2012,GET,False,4.52,2.59,2.0
2020,GET,False,5.17,2.38,2.19
2028,GET,False,4.56,2.81,1.9
2040,GET,False,4.66,3.1,1.7
2044,PUT,False,3.11,2.42,2.01
2044,GET,False,2.56,2.85,1.78
2044,GET,True,4.91,3.54,2.66
2044,GET,False,2.47,3.45,2.31
2056,GET,True,4.79,3.75,2.53
2056,GET,False,3.11,2.14,2.23
2056,PUT,False,5.12,3.49,2.1
2056,GET,True,5.07,3.23,2.6
2056,GET,False,3.04,3.39,1.94
2056,GET,False,3.95,2.84,1.74
2056,GET,False,3.19,3.01,1.81
2056,GET,True,3.76,4.07,2.06
2056,GET,False,3.05,2.29,1.54
2056,GET,False,3.54,2.95,2.57
2056,GET,True,3.29,3.14,2.31
2056,PUT,False,3.04,3.25,2.51
2056,PUT,False,2.56,3.42,2.24
2056,GET,True,2.81,3.13,2.67
2056,GET,False,4.0,3.05,1.97
2056,GET,False,2.91,4.17,1.89
2056,GET,False,2.08,2.7,1.84
2056,PUT,False,2.68,2.78,2.22
2056,GET,True,3.9,3.97,2.52
2056,GET,True,4.06,3.74,2.52
2056,PUT,False,2.73,2.89,1.81
2056,GET,False,2.73,2.39,1.56
2056,PUT,False,3.7,2.74,2.3
2056,GET,False,4.0,2.17,1.55
2056,GET,False,6.88,3.07,1.82
2056,GET,False,2.78,3.2,1.69
2056,GET,False,2.22,2.61,1.93
2056,GET,False,3.73,2.66,1.77
2056,GET,False,2.87,3.61,1.99
2056,GET,False,5.67,2.99,2.11
2056,GET,False,2.0,3.15,1.48
2056,GET,False,3.47,3.33,2.57
2056,GET,False,3.03,3.28,2.45
2056,GET,False,4.02,3.12,1.99
2056,GET,False,2.35,3.43,1.62
2056,GET,False,4.16,3.15,2.15
2056,GET,False,2.94,3.28,2.13
2056,GET,False,4.17,3.34,1.84
2056,GET,False,4.11,3.59,2.11
2056,GET,False,3.82,3.81,2.21
2056,GET,False,2.66,3.62,2.16
2056,GET,True,6.67,3.57,2.44
2056,GET,False,2.32,3.3,1.72
2056,GET,False,2.18,3.02,2.05
2056,GET,False,2.91,3.71,2.45
2056,PUT,False,2.84,3.6,2.47
2056,GET,False,3.04,3.95,1.8
2056,PUT,False,2.76,4.17,2.1
2056,GET,False,3.94,2.8,2.1
2056,GET,False,2.5,2.42,1.73
2056,GET,False,3.52,2.45,1.42
2056,PUT,False,3.8,3.06,2.36
2056,GET,True,5.16,3.39,2.47
2056,GET,False,2.35,2.47,2.11
2056,GET,False,3.56,3.5,2.14
2056,GET,True,3.63,4.04,2.43
2056,GET,False,3.37,2.35,1.7
2056,GET,False,2.02,2.84,1.69
2056,GET,False,3.31,3.12,2.0
2056,GET,False,2.82,3.6,1.73
2056,GET,False,4.14,2.99,1.93
2056,GET,False,3.3,2.85,2.56
2056,GET,False,2.97,2.29,2.01
2056,GET,False,3.05,2.37,1.95
2056,PUT,False,3.84,2.87,2.2
2056,PUT,False,3.52,2.89,2.2
2056,GET,False,2.28,4.19,1.76
2056,PUT,False,0.06,0.06,0.05
2056,GET,False,3.64,3.07,1.65
2056,GET,False,2.48,2.61,1.83
2056,GET,False,3.2,3.13,2.19
2056,GET,False,2.99,2.84,2.4
2056,PUT,False,5.25,3.55,1.72
2056,GET,True,3.36,3.57,2.2
2056,GET,True,2.68,3.97,2.47
2056,GET,False,3.62,2.96,1.97
2056,GET,True,4.01,3.48,2.47
2056,PUT,False,2.62,2.75,1.59
2056,GET,False,4.06,3.86,2.3
2056,GET,False,3.3,2.63,2.19
2056,GET,True,4.82,3.3,2.56
2056,GET,False,4.97,2.6,1.9
2056,GET,False,2.79,2.51,1.87
2060,GET,False,2.76,2.32,1.65
2060,GET,True,5.43,3.38,2.28
2060,GET,False,3.5,3.23,1.69
2060,GET,False,1.65,3.46,1.66
2060,GET,False,4.13,2.82,2.4
2060,GET,True,3.77,3.23,2.32
2060,GET,False,3.77,3.32,1.93
2060,GET,True,2.98,2.68,0.96
2060,GET,False,4.13,2.78,1.91
2060,GET,False,4.47,3.6,1.7
2060,PUT,False,2.26,1.92,1.55
2060,GET,False,1.92,2.3,1.69
