No,Size,Type,IsDegradeRead,replicas,nativeec,hydra,microec
276,1576,GET,true,4.958,16.01,17.855,12.525
277,2260,GET,true,5.634,16.334,19.084,11.72
278,15548416,GET,true,2942.162,5587.405,4348.514,2688.74
279,3342336,GET,true,518.613,1200.336,779.831,624.044
280,1064960,GET,false,190.268,174.837,171.361,167.871
281,2996,GET,true,5.479,49.75,19.465,13.752
282,3652,PUT,false,18.161,54.557,61.819,28.128
283,17743872,GET,true,2741.645,5974.424,4242.676,3478.36
284,3784,GET,true,6.495,49.996,21.728,14.885
285,4572,GET,false,6.687,20.541,16.695,9.626
286,3000,GET,false,5.345,16.685,12.715,7.829
287,1568,GET,true,5.253,23.629,18.389,11.006
288,7456,GET,true,5.946,23.505,19.31,12.465
289,4592,GET,false,6.536,14.982,12.993,7.957
290,1372,GET,true,5.204,29.743,17.806,10.823
291,13565952,GET,true,2085.269,4195.929,3102.718,2754.441
292,1900,GET,false,5.482,26.181,16.015,9.642
293,2260,GET,false,5.233,23.928,16.959,7.854
294,819200,GET,false,147.344,133.524,131.916,130.577
295,671744,GET,true,123.974,244.989,169.205,173.245
296,2404,GET,false,5.179,29.182,17.713,7.87
297,26918912,GET,true,4129.945,9265.345,6830.153,4550.477
298,6376,PUT,false,19.752,81.975,80.055,30.349
299,9240576,GET,true,1997.733,2923.942,2213.092,27187.485
300,2310144,GET,false,360.253,374.201,361.236,358.819
301,1332,GET,true,4.77,46.679,20.611,13.91
302,1116,GET,true,4.632,28.687,17.795,12.151
303,9240576,PUT,false,4285.712,5327.814,2232.396,14635.329
304,294912,GET,true,59.078,133.685,81.619,10482.186
305,16384,GET,true,7.864,56.97,27.483,16.688
306,819200,GET,true,146.933,282.294,196.192,186.069
307,1900544,GET,true,298.089,631.601,439.641,397.367
308,4092,GET,true,6.037,51.751,20.244,14.162
309,52412416,GET,false,8064.627,8050.168,8038.284,8033.016
310,12156,GET,true,8.341,25.417,21.037,15.183
311,170737664,PUT,false,84030.324,95683.731,63061.98,51890.801
312,2080768,GET,true,325.099,785.234,565.172,425.11
313,9544,GET,true,7.527,77.38,29.731,25.119
314,3652,GET,false,5.97,28.421,20.305,11.133
315,1980,GET,false,5.018,21.627,12.807,11.085
316,1916928,GET,true,345.426,685.742,440.992,382.675
317,170737664,GET,true,26156.401,59585.288,53874.294,37015.013
318,1966080,GET,true,307.466,763.249,592.688,394.421
319,2628,GET,false,5.352,36.705,23.733,11.824
320,12156,GET,true,6.514,64.233,32.299,19.4
321,2310144,GET,false,359.52,366.136,360.484,359.258
322,52412416,GET,true,8052.303,18698.607,16125.355,11041.409
323,3784,GET,true,6.312,80.534,57.506,15.583
324,2628,GET,false,5.543,29.355,19.061,9.109
325,2604,GET,false,5.203,28.028,17.073,8.932
326,2828,GET,true,5.186,28.011,20.511,12.226
327,1128,GET,false,4.359,19.946,22.093,7.684
328,294912,GET,true,57.497,147.758,90.317,88.164
329,2628,GET,false,5.331,31.199,14.927,8.63
330,671744,GET,false,124.53,125.839,111.964,108.141
331,17743872,GET,true,2723.13,6446.604,5237.001,28008.277
332,4960,GET,false,7.319,28.784,25.304,10.619
333,5560,GET,false,6.477,22.272,17.524,9.585
334,3784,GET,false,5.762,30.497,15.132,9.028
335,3342336,GET,false,517.741,521.939,519.156,518.024
336,2628,GET,true,5.4,47.517,21.206,13.745
337,12284,GET,false,6.379,29.581,17.628,9.942
338,1584,GET,true,4.453,28.61,30.91,11.623
339,2996,GET,false,5.584,18.841,16.261,8.518
340,6308,GET,true,5.908,26.205,21.807,13.443
341,14663680,GET,true,2253.981,5170.244,3724.682,13965.577
342,1376256,GET,true,228.629,437.652,359.024,275.685
343,16384,GET,false,8.129,27.872,18.971,11.031
344,6708,GET,false,6.361,22.896,15.835,9.393
345,2628,GET,true,5.471,43.081,20.171,14.365
346,4960,GET,true,6.968,32.086,35.002,13.184
347,1584,GET,true,5.837,25.889,20.768,12.211
348,1352,GET,false,4.408,19.432,16.845,8.41
349,1364,GET,true,4.636,25.617,17.632,12.914
350,65536,GET,true,17.06,38.348,38.613,23.878
351,6916,GET,false,6.235,20.977,15.691,9.454
352,54394880,GET,false,8351.697,8354.06,8359.431,8337.874
353,4960,GET,true,6.883,30.749,21.557,13.501
354,1152,GET,true,4.911,24.341,21.732,12.096
355,4960,GET,true,6.202,26.593,16.942,12.522
356,7476,GET,true,6.825,25.439,21.446,12.702
357,3000,GET,true,5.558,26.639,20.028,11.359
358,1336,GET,false,5.221,19.958,14.355,8.893
359,6788,GET,true,6.293,26.413,20.345,13.936
360,4960,GET,true,5.248,21.008,13.714,9.561
361,2628,GET,false,5.054,20.818,15.783,8.218
362,2832,GET,true,5.408,25.711,18.049,12.899
363,16384,GET,true,8.082,27.74,18.841,13.98
364,1372,GET,true,3.96,24.345,18.908,10.622
365,1332,GET,false,5.045,19.608,16.204,7.794
366,16154624,GET,true,2494.844,5741.998,3977.7,2707.298
367,54394880,GET,false,8339.228,8359.609,8339.863,8353.865
368,1772,GET,true,5.411,47.523,21.28,13.674
369,12156,GET,false,7.286,28.695,13.976,10.048
370,7344,PUT,false,12.974,50.19,41.214,27.154
371,3240,GET,true,5.515,24.525,20.622,13.845
372,2628,GET,true,5.367,29.985,17.741,12.513
373,11059200,PUT,false,5306.402,6183.533,3533.362,3433.656
374,2404,GET,false,5.71,23.699,19.345,9.562
375,12156,GET,false,8.431,22.492,19.13,10.816
376,3228,GET,false,5.477,19.99,12.777,8.278
377,51478528,GET,false,7890.331,7896.412,7893.672,7890.564
378,1332,GET,false,5.107,19.761,14.485,8.63
379,54394880,GET,true,8354.958,18627.347,14936.239,11799.104
380,54394880,GET,false,8908.656,8377.911,8367.589,8337.037
381,16384,GET,true,8.345,62.956,38.224,17.457
382,1064960,GET,false,191.333,172.682,247.255,168.785
383,557056,GET,true,107.177,227.574,149.488,163.081
384,52412416,GET,true,8033.74,19070.64,15190.742,9722.342
385,20316160,GET,false,3119.34,3159.605,3129.528,3129.137
386,12284,GET,true,7.961,60.799,33.348,20.448
387,30720000,GET,false,4711.044,4717.748,4719.621,4712.705
388,4960,GET,true,5.927,30.563,22.854,14.724
389,2804,GET,false,5.571,18.326,15.787,9.248
390,2628,GET,false,5.786,19.425,13.373,8.804
391,2516,GET,true,5.261,25.076,19.342,12.769
392,2628,GET,true,5.945,98.355,64.216,12.773
393,1584,GET,false,5.255,19.007,16.875,8.916
394,16187392,GET,false,2485.318,2506.131,2490.67,2509.176
395,9764864,GET,false,1523.566,1505.406,1505.17,1504.154
396,1332,GET,true,4.589,26.803,20.323,13.815
397,2420,GET,false,4.904,18.263,14.063,10.403
398,9576,GET,true,7.244,25.818,20.104,14.709
399,3342336,GET,false,517.197,519.985,519.395,516.849
400,2310144,GET,true,359.545,802.15,605.99,505.341
401,12284,GET,true,6.634,56.121,22.686,16.813
402,9027584,GET,false,1392.833,1408.566,1392.135,1404.155
403,2680,PUT,false,11.637,45.632,35.596,26.321
404,6912,GET,false,6.218,60.517,58.108,10.481
405,2060,GET,false,5.015,20.734,13.919,9.573
406,16384,GET,false,7.833,17.323,15.003,10.732
407,294912,GET,false,57.201,53.661,51.813,50.935
408,2490368,GET,true,386.799,917.97,586.25,499.241
409,720896,GET,true,131.383,274.827,173.097,178.754
410,12284,GET,false,7.013,28.289,13.683,10.38
411,2632,GET,false,5.267,24.601,17.488,9.771
412,1988,GET,true,5.067,52.19,17.631,14.026
413,1236,GET,false,5.135,23.134,12.388,9.612
414,2628,GET,false,5.169,19.656,15.313,9.549
415,294912,GET,false,51.73,51.493,51.023,50.858
416,1146880,GET,false,196.078,184.209,182.261,182.187
417,1116,GET,false,4.228,19.583,13.48,9.306
418,9576,GET,false,6.963,18.437,13.424,10.118
419,1332,GET,true,4.702,26.565,15.663,13.216
