readReplicas, filename /tmp16777216replicas.dat, loop 1000
/tmp16777216replicas.dat is a ReplicasFile!
starting benchmark...
Loop 555 (us) 2574.423
Loop 556 (us) 2575.579
Loop 557 (us) 2575.682
Loop 558 (us) 2574.495
Loop 559 (us) 2574.791
Loop 560 (us) 2574.172
Loop 561 (us) 2574.991
Loop 562 (us) 2574.907
Loop 563 (us) 2574.4
Loop 564 (us) 2575.308
Loop 565 (us) 2575.514
Loop 566 (us) 2574.302
Loop 567 (us) 2574.355
Loop 568 (us) 2575.335
Loop 569 (us) 2575.611
Loop 570 (us) 2575.322
Loop 571 (us) 2575.295
Loop 572 (us) 2575.74
Loop 573 (us) 2574.076
Loop 574 (us) 2575.424
Loop 575 (us) 2574.165
Loop 576 (us) 2575.362
Loop 577 (us) 2574.936
Loop 578 (us) 2574.744
Loop 579 (us) 2574.267
Loop 580 (us) 2574.608
Loop 581 (us) 2574.433
Loop 582 (us) 2575.538
Loop 583 (us) 2574.328
Loop 584 (us) 2575.279
Loop 585 (us) 2574.587
Loop 586 (us) 2574.713
Loop 587 (us) 2575.523
Loop 588 (us) 2574.364
Loop 589 (us) 2575.516
Loop 590 (us) 2574.477
Loop 591 (us) 2575.465
Loop 592 (us) 2574.304
Loop 593 (us) 2575.753
Loop 594 (us) 2574.913
Loop 595 (us) 2575.202
Loop 596 (us) 2574.432
Loop 597 (us) 2575.704
Loop 598 (us) 2575.453
Loop 599 (us) 2575.412
Loop 600 (us) 2574.621
Loop 601 (us) 2575.527
Loop 602 (us) 2574.34
Loop 603 (us) 2574.649
Loop 604 (us) 2574.873
Loop 605 (us) 2575.038
Loop 606 (us) 2574.42
Loop 607 (us) 2575.565
Loop 608 (us) 2574.366
Loop 609 (us) 2575.447
Loop 610 (us) 2575.856
Loop 611 (us) 2574.195
Loop 612 (us) 2575.454
Loop 613 (us) 2574.299
Loop 614 (us) 2574.524
Loop 615 (us) 2575.599
Loop 616 (us) 2574.84
Loop 617 (us) 2575.517
Loop 618 (us) 2574.346
Loop 619 (us) 2574.292
Loop 620 (us) 2575.437
Loop 621 (us) 2575.352
Loop 622 (us) 2575.539
Loop 623 (us) 2574.182
Loop 624 (us) 2574.858
Loop 625 (us) 2574.784
Loop 626 (us) 2575.436
Loop 627 (us) 2574.243
Loop 628 (us) 2576.109
Loop 629 (us) 2575.763
Loop 630 (us) 2575.653
Loop 631 (us) 2575.403
Loop 632 (us) 2574.568
Loop 633 (us) 2575.519
Loop 634 (us) 2575.441
Loop 635 (us) 2574.317
Loop 636 (us) 2575.283
Loop 637 (us) 2574.637
Loop 638 (us) 2574.926
Loop 639 (us) 2575.711
Loop 640 (us) 2574.364
Loop 641 (us) 2574.344
Loop 642 (us) 2575.942
Loop 643 (us) 2574.49
Loop 644 (us) 2575.263
Loop 645 (us) 2574.436
Loop 646 (us) 2574.479
Loop 647 (us) 2574.284
Loop 648 (us) 2574.508
Loop 649 (us) 2574.324
Loop 650 (us) 2574.288
Loop 651 (us) 2574.534
Loop 652 (us) 2575.505
Loop 653 (us) 2575.582
Loop 654 (us) 2574.848
Loop 655 (us) 2574.362
Loop 656 (us) 2575.796
Loop 657 (us) 2574.83
Loop 658 (us) 2574.712
Loop 659 (us) 2574.437
Loop 660 (us) 2575.663
Loop 661 (us) 2575.573
Loop 662 (us) 2575.487
Loop 663 (us) 2575.707
Loop 664 (us) 2575.171
Loop 665 (us) 2575.896
Loop 666 (us) 2575.408
Loop 667 (us) 2574.576
Loop 668 (us) 2575.322
Loop 669 (us) 2575.28
Loop 670 (us) 2574.302
Loop 671 (us) 2575.449
Loop 672 (us) 2575.843
Loop 673 (us) 2574.824
Loop 674 (us) 2575.386
Loop 675 (us) 2575.528
Loop 676 (us) 2575.482
Loop 677 (us) 2574.402
Loop 678 (us) 2575.294
Loop 679 (us) 2574.886
Loop 680 (us) 2575.225
Loop 681 (us) 2575.286
Loop 682 (us) 2574.91
Loop 683 (us) 2575.324
Loop 684 (us) 2575.741
Loop 685 (us) 2574.853
Loop 686 (us) 2574.885
Loop 687 (us) 2575.472
Loop 688 (us) 2575.454
Loop 689 (us) 2574.226
