writeMicroEC_CodingDescent, filename /tmp65536microec.dat, size 65536, loop 1000, storageClass 0, locationClass 0, monECSubStripeNum 4
CrailConstants.REPLICATION_FACTOR has changed to 5
MicroEC Coding Ready

networkSizeArray [8192, 12288, 16384]
starting benchmark...
replicas primary file /tmp65536microec.dat capacity 0
replicas slave file /tmp65536microec.datLQL0 capacity 0
replicas slave file /tmp65536microec.datLQL1 capacity 0
replicas slave file /tmp65536microec.datLQL2 capacity 0
replicas slave file /tmp65536microec.datLQL3 capacity 0
replicas slave file /tmp65536microec.datLQL4 capacity 0
CrailConstants.REPLICATION_FACTOR has changed to 5
Loop 698 (us) 43.389
Loop 699 (us) 43.396
Loop 700 (us) 44.658
Loop 701 (us) 44.475
Loop 702 (us) 44.379
Loop 703 (us) 43.685
Loop 704 (us) 42.65
Loop 705 (us) 41.842
Loop 706 (us) 42.187
Loop 707 (us) 43.594
Loop 708 (us) 42.8
Loop 709 (us) 955.065
Loop 710 (us) 168.383
Loop 711 (us) 159.084
Loop 712 (us) 140.802
Loop 713 (us) 147.719
Loop 714 (us) 136.499
Loop 715 (us) 133.653
Loop 716 (us) 151.752
Loop 717 (us) 140.573
Loop 718 (us) 132.121
Loop 719 (us) 118.672
Loop 720 (us) 80.046
Loop 721 (us) 87.602
Loop 722 (us) 92.666
Loop 723 (us) 83.17
Loop 724 (us) 79.973
Loop 725 (us) 84.817
Loop 726 (us) 79.165
Loop 727 (us) 84.094
Loop 728 (us) 85.302
Loop 729 (us) 87.719
Loop 730 (us) 79.469
Loop 731 (us) 76.303
Loop 732 (us) 80.308
Loop 733 (us) 77.963
Loop 734 (us) 90.229
Loop 735 (us) 83.396
Loop 736 (us) 82.58
Loop 737 (us) 79.564
Loop 738 (us) 78.173
Loop 739 (us) 78.673
Loop 740 (us) 84.56
Loop 741 (us) 46.66
Loop 742 (us) 43.014
Loop 743 (us) 44.303
Loop 744 (us) 44.752
Loop 745 (us) 43.872
Loop 746 (us) 42.952
Loop 747 (us) 44.902
Loop 748 (us) 43.85
Loop 749 (us) 43.29
Loop 750 (us) 50.57
Loop 751 (us) 54.108
Loop 752 (us) 52.119
Loop 753 (us) 51.181
Loop 754 (us) 48.389
Loop 755 (us) 46.389
Loop 756 (us) 47.692
Loop 757 (us) 49.549
Loop 758 (us) 43.821
Loop 759 (us) 47.124
Loop 760 (us) 44.075
Loop 761 (us) 45.488
Loop 762 (us) 48.623
Loop 763 (us) 43.932
Loop 764 (us) 44.064
Loop 765 (us) 46.278
Loop 766 (us) 44.673
Loop 767 (us) 55.291
Loop 768 (us) 49.685
Loop 769 (us) 43.878
Loop 770 (us) 47.037
Loop 771 (us) 46.216
Loop 772 (us) 43.117
Loop 773 (us) 44.39
Loop 774 (us) 46.674
Loop 775 (us) 43.804
Loop 776 (us) 44.484
Loop 777 (us) 46.057
Loop 778 (us) 43.605
Loop 779 (us) 51.599
Loop 780 (us) 49.502
Loop 781 (us) 49.834
Loop 782 (us) 47.506
Loop 783 (us) 52.687
Loop 784 (us) 55.74
Loop 785 (us) 58.47
Loop 786 (us) 60.668
Loop 787 (us) 53.805
Loop 788 (us) 50.936
Loop 789 (us) 53.593
Loop 790 (us) 49.455
Loop 791 (us) 77.417
Loop 792 (us) 57.24
Loop 793 (us) 54.915
Loop 794 (us) 53.802
Loop 795 (us) 58.351
Loop 796 (us) 55.7
Loop 797 (us) 61.009
Loop 798 (us) 55.484
Loop 799 (us) 53.981
Loop 800 (us) 64.988
Loop 801 (us) 53.834
Loop 802 (us) 52.203
Loop 803 (us) 47.961
Loop 804 (us) 52.904
Loop 805 (us) 51.96
Loop 806 (us) 53.628
Loop 807 (us) 52.244
Loop 808 (us) 54.66
Loop 809 (us) 54.898
Loop 810 (us) 50.168
Loop 811 (us) 50.37
Loop 812 (us) 50.419
Loop 813 (us) 52.274
Loop 814 (us) 48.216
Loop 815 (us) 48.486
Loop 816 (us) 55.953
Loop 817 (us) 51.16
Loop 818 (us) 46.559
Loop 819 (us) 50.034
Loop 820 (us) 45.736
Loop 821 (us) 48.306
Loop 822 (us) 111.452
Loop 823 (us) 50.696
Loop 824 (us) 48.295
Loop 825 (us) 48.797
Loop 826 (us) 45.393
Loop 827 (us) 46.411
Loop 828 (us) 48.657
Loop 829 (us) 45.118
Loop 830 (us) 45.497
Loop 831 (us) 48.09
Loop 832 (us) 44.675
Loop 833 (us) 45.159
Loop 834 (us) 47.128
Loop 835 (us) 46.229
Loop 836 (us) 45.426
Loop 837 (us) 49.097
Loop 838 (us) 45.232
Loop 839 (us) 44.716
Loop 840 (us) 47.012
Loop 841 (us) 45.895
Loop 842 (us) 43.788
Loop 843 (us) 48.654
Loop 844 (us) 45.309
Loop 845 (us) 45.225
Loop 846 (us) 47.461
Loop 847 (us) 44.582
Loop 848 (us) 43.773
Loop 849 (us) 46.695
Loop 850 (us) 46.348
Loop 851 (us) 45.394
Loop 852 (us) 47.469
Loop 853 (us) 49.199
Loop 854 (us) 44.908
Loop 855 (us) 46.544
Loop 856 (us) 46.225
Loop 857 (us) 48.96
Loop 858 (us) 47.621
