No,Size,Type,IsDegradeRead,replicas,nativeec,hydra,microec
462,2056,GET,true,4.619,21.686,20.203,15.036
463,12284,GET,false,6.89,16.156,15.042,11.402
464,1316,GET,false,4.218,15.795,16.324,8.697
465,2628,GET,true,4.117,22.816,27.662,13.343
466,16384,GET,false,7.727,17.897,17.584,13.44
467,1148,GET,false,4.654,15.528,16.699,9.99
468,2628,GET,true,4.528,19.434,27.687,13.946
469,96550912,GET,true,14795.431,35519.906,26349.079,15330.576
470,51281920,GET,true,7861.609,17326.166,14407.18,32192.64
471,23887872,GET,true,3684.874,8109.502,6522.222,17708.342
472,278528,GET,false,54.722,55.295,54.885,49.826
473,1916928,GET,false,299.986,302.311,300.856,301.102
474,5455872,GET,true,858.826,1529.754,1328.184,1064.91
475,1152,GET,true,4.246,28.03,29.612,26.187
476,18513920,GET,false,8357.721,2852.792,2846.116,2844.736
477,2996,GET,false,8.028,17.373,13.824,11.604
478,2628,GET,true,5.224,26.539,18.567,18.701
479,2256,GET,true,5.915,22.258,19.44,15.062
480,2340,GET,false,5.003,17.19,13.387,11.103
481,1368,GET,true,4.817,22.463,16.765,14.015
482,1156,GET,true,4.25,24.661,18.712,13.303
483,1179648,GET,false,200.086,188.359,189.806,188.221
484,1327104,GET,true,216.29,391.913,312.09,272.165
485,2824,GET,true,5.812,43.597,19.073,15.272
486,819200,GET,false,150.563,134.38,134.649,131.429
487,327680,GET,false,63.165,57.932,58.561,56.735
488,7847936,GET,false,1208.766,1223.14,1209.481,1209.763
489,6078464,GET,true,938.486,2230.832,1406.711,1041.777
490,8060928,GET,false,1256.804,1247.881,1243.997,1261.135
491,983040,GET,true,179.081,370.707,234.383,238.395
492,2812,GET,true,5.976,54.644,24.379,17.185
493,73416704,GET,false,11251.585,11289.178,11258.705,11253.819
494,868352,GET,false,158.97,141.26,139.898,139.185
495,11714560,GET,true,1822.959,3789.521,2857.599,2263.965
496,38699008,PUT,false,19960.395,22253.112,31153.341,11155.024
497,2628,GET,false,5.64,29.008,26.304,16.422
498,163840,GET,true,33.982,117.176,90.682,80.484
499,18874368,GET,false,2908.826,2911.752,2919.96,2909.74
500,1144,PUT,false,11.317,62.481,63.488,54.155
501,5232,GET,false,6.2,20.963,25.536,14.851
502,4500,PUT,false,12.706,38.12,70.03,27.619
503,10747904,GET,true,1662.142,3488.707,3505.73,1902.304
504,4708,GET,false,6.581,25.192,26.117,11.96
505,12156,GET,true,8.121,46.001,33.371,19.478
